ENSG00000068323	ENSG00000129084	Protein	Protein	PPI
ENSG00000066044	ENSG00000141380	Protein	Protein	PPI
ENSG00000118260	ENSG00000198911	Protein	Protein	PPI
ENSG00000089280	ENSG00000165119	Protein	Protein	PPI
ENSG00000067533	ENSG00000124006	Protein	Protein	PPI
ENSG00000138182	ENSG00000166913	Protein	Protein	PPI
ENSG00000062485	ENSG00000175104	Protein	Protein	PPI
ENSG00000104825	ENSG00000121621	Protein	Protein	PPI
ENSG00000186908	ENSG00000275379	Protein	Protein	PPI
ENSG00000126457	ENSG00000151090	Protein	Protein	PPI
ENSG00000013275	ENSG00000167978	Protein	Protein	PPI
ENSG00000146731	ENSG00000163820	Protein	Protein	PPI
ENSG00000171208	ENSG00000185950	Protein	Protein	PPI
ENSG00000163041	ENSG00000196497	Protein	Protein	PPI
ENSG00000117748	ENSG00000144028	Protein	Protein	PPI
ENSG00000122565	ENSG00000277462	Protein	Protein	PPI
ENSG00000100030	ENSG00000186298	Protein	Protein	PPI
ENSG00000082898	ENSG00000099783	Protein	Protein	PPI
ENSG00000110367	ENSG00000204889	Protein	Protein	PPI
ENSG00000155229	ENSG00000156304	Protein	Protein	PPI
ENSG00000101310	ENSG00000165025	Protein	Protein	PPI
ENSG00000117266	ENSG00000167110	Protein	Protein	PPI
ENSG00000112739	ENSG00000125835	Protein	Protein	PPI
ENSG00000104375	ENSG00000150457	Protein	Protein	PPI
ENSG00000131462	ENSG00000156261	Protein	Protein	PPI
ENSG00000131469	ENSG00000147403	Protein	Protein	PPI
ENSG00000125755	ENSG00000163104	Protein	Protein	PPI
ENSG00000100106	ENSG00000196544	Protein	Protein	PPI
ENSG00000103266	ENSG00000204209	Protein	Protein	PPI
ENSG00000101146	ENSG00000162231	Protein	Protein	PPI
ENSG00000015479	ENSG00000205213	Protein	Protein	PPI
ENSG00000165119	ENSG00000189403	Protein	Protein	PPI
ENSG00000065361	ENSG00000177885	Protein	Protein	PPI
ENSG00000154370	ENSG00000177981	Protein	Protein	PPI
ENSG00000029363	ENSG00000134283	Protein	Protein	PPI
ENSG00000114127	ENSG00000150753	Protein	Protein	PPI
ENSG00000123485	ENSG00000277157	Protein	Protein	PPI
ENSG00000147789	ENSG00000171148	Protein	Protein	PPI
ENSG00000118960	ENSG00000166557	Protein	Protein	PPI
ENSG00000104738	ENSG00000158406	Protein	Protein	PPI
ENSG00000108883	ENSG00000189091	Protein	Protein	PPI
ENSG00000147010	ENSG00000198901	Protein	Protein	PPI
ENSG00000072401	ENSG00000127191	Protein	Protein	PPI
ENSG00000064393	ENSG00000169057	Protein	Protein	PPI
ENSG00000036257	ENSG00000277157	Protein	Protein	PPI
ENSG00000068745	ENSG00000127191	Protein	Protein	PPI
ENSG00000004487	ENSG00000067369	Protein	Protein	PPI
ENSG00000012048	ENSG00000136807	Protein	Protein	PPI
ENSG00000117748	ENSG00000182718	Protein	Protein	PPI
ENSG00000173207	ENSG00000196628	Protein	Protein	PPI
ENSG00000115687	ENSG00000166747	Protein	Protein	PPI
ENSG00000126653	ENSG00000197879	Protein	Protein	PPI
ENSG00000099956	ENSG00000100462	Protein	Protein	PPI
ENSG00000036257	ENSG00000140988	Protein	Protein	PPI
ENSG00000108654	ENSG00000142208	Protein	Protein	PPI
ENSG00000007392	ENSG00000133606	Protein	Protein	PPI
ENSG00000184752	ENSG00000267855	Protein	Protein	PPI
ENSG00000131508	ENSG00000135870	Protein	Protein	PPI
ENSG00000082898	ENSG00000118518	Protein	Protein	PPI
ENSG00000103126	ENSG00000124486	Protein	Protein	PPI
ENSG00000120265	ENSG00000175634	Protein	Protein	PPI
ENSG00000036257	ENSG00000108883	Protein	Protein	PPI
ENSG00000101361	ENSG00000273703	Protein	Protein	PPI
ENSG00000012048	ENSG00000089737	Protein	Protein	PPI
ENSG00000113580	ENSG00000144381	Protein	Protein	PPI
ENSG00000123562	ENSG00000153187	Protein	Protein	PPI
ENSG00000089280	ENSG00000149925	Protein	Protein	PPI
ENSG00000189060	ENSG00000269335	Protein	Protein	PPI
ENSG00000092621	ENSG00000124006	Protein	Protein	PPI
ENSG00000080345	ENSG00000186298	Protein	Protein	PPI
ENSG00000144635	ENSG00000165280	Protein	Protein	PPI
ENSG00000144381	ENSG00000171094	Protein	Protein	PPI
ENSG00000092201	ENSG00000197323	Protein	Protein	PPI
ENSG00000082898	ENSG00000169895	Protein	Protein	PPI
ENSG00000068438	ENSG00000187109	Protein	Protein	PPI
ENSG00000170608	ENSG00000196781	Protein	Protein	PPI
ENSG00000111790	ENSG00000183684	Protein	Protein	PPI
ENSG00000095002	ENSG00000167770	Protein	Protein	PPI
ENSG00000108061	ENSG00000158186	Protein	Protein	PPI
ENSG00000075292	ENSG00000115687	Protein	Protein	PPI
ENSG00000099956	ENSG00000153094	Protein	Protein	PPI
ENSG00000121297	ENSG00000132938	Protein	Protein	PPI
ENSG00000089737	ENSG00000273899	Protein	Protein	PPI
ENSG00000166595	ENSG00000183570	Protein	Protein	PPI
ENSG00000068878	ENSG00000277157	Protein	Protein	PPI
ENSG00000105401	ENSG00000165752	Protein	Protein	PPI
ENSG00000168394	ENSG00000198862	Protein	Protein	PPI
ENSG00000114062	ENSG00000178966	Protein	Protein	PPI
ENSG00000138411	ENSG00000143258	Protein	Protein	PPI
ENSG00000066044	ENSG00000162599	Protein	Protein	PPI
ENSG00000132002	ENSG00000197386	Protein	Protein	PPI
ENSG00000040341	ENSG00000180228	Protein	Protein	PPI
ENSG00000015479	ENSG00000077312	Protein	Protein	PPI
ENSG00000087302	ENSG00000111530	Protein	Protein	PPI
ENSG00000116478	ENSG00000181472	Protein	Protein	PPI
ENSG00000150459	ENSG00000166913	Protein	Protein	PPI
ENSG00000118640	ENSG00000168818	Protein	Protein	PPI
ENSG00000087087	ENSG00000168283	Protein	Protein	PPI
ENSG00000124702	ENSG00000213923	Protein	Protein	PPI
ENSG00000066044	ENSG00000108821	Protein	Protein	PPI
ENSG00000128245	ENSG00000198924	Protein	Protein	PPI
ENSG00000116478	ENSG00000176171	Protein	Protein	PPI
ENSG00000163932	ENSG00000196526	Protein	Protein	PPI
ENSG00000104375	ENSG00000115541	Protein	Protein	PPI
ENSG00000100644	ENSG00000136997	Protein	Protein	PPI
ENSG00000104320	ENSG00000188612	Protein	Protein	PPI
ENSG00000137563	ENSG00000147130	Protein	Protein	PPI
ENSG00000169398	ENSG00000171862	Protein	Protein	PPI
ENSG00000107099	ENSG00000133858	Protein	Protein	PPI
ENSG00000196544	ENSG00000198843	Protein	Protein	PPI
ENSG00000137076	ENSG00000138668	Protein	Protein	PPI
ENSG00000122565	ENSG00000188219	Protein	Protein	PPI
ENSG00000100393	ENSG00000118689	Protein	Protein	PPI
ENSG00000141034	ENSG00000168621	Protein	Protein	PPI
ENSG00000026025	ENSG00000152422	Protein	Protein	PPI
ENSG00000131475	ENSG00000131475	Protein	Protein	PPI
ENSG00000162231	ENSG00000196712	Protein	Protein	PPI
ENSG00000130255	ENSG00000181163	Protein	Protein	PPI
ENSG00000116670	ENSG00000143442	Protein	Protein	PPI
ENSG00000036257	ENSG00000155636	Protein	Protein	PPI
ENSG00000036257	ENSG00000117528	Protein	Protein	PPI
ENSG00000101843	ENSG00000277224	Protein	Protein	PPI
ENSG00000108094	ENSG00000181222	Protein	Protein	PPI
ENSG00000128283	ENSG00000136997	Protein	Protein	PPI
ENSG00000004975	ENSG00000004975	Protein	Protein	PPI
ENSG00000100393	ENSG00000157540	Protein	Protein	PPI
ENSG00000070367	ENSG00000165527	Protein	Protein	PPI
ENSG00000064393	ENSG00000100393	Protein	Protein	PPI
ENSG00000125753	ENSG00000130066	Protein	Protein	PPI
ENSG00000129315	ENSG00000140464	Protein	Protein	PPI
ENSG00000075785	ENSG00000144566	Protein	Protein	PPI
ENSG00000066044	ENSG00000141867	Protein	Protein	PPI
ENSG00000029363	ENSG00000163634	Protein	Protein	PPI
ENSG00000095015	ENSG00000107643	Protein	Protein	PPI
ENSG00000090889	ENSG00000198901	Protein	Protein	PPI
ENSG00000102805	ENSG00000103502	Protein	Protein	PPI
ENSG00000124006	ENSG00000204560	Protein	Protein	PPI
ENSG00000066044	ENSG00000101166	Protein	Protein	PPI
ENSG00000116954	ENSG00000131981	Protein	Protein	PPI
ENSG00000100429	ENSG00000196498	Protein	Protein	PPI
ENSG00000010017	ENSG00000105976	Protein	Protein	PPI
ENSG00000118260	ENSG00000213523	Protein	Protein	PPI
ENSG00000100764	ENSG00000101557	Protein	Protein	PPI
ENSG00000134262	ENSG00000156970	Protein	Protein	PPI
